tempo, rssi, distancia, nivel_invasao, amostragem
16:08:01.384, -43, 0.5, 0, 0.050
16:08:01.481, -42, 0.5, 0, 0.050
16:08:01.577, -42, 0.5, 0, 0.050
16:08:01.674, -42, 0.5, 0, 0.050
16:08:01.770, -42, 0.5, 0, 0.050
16:08:01.899, -42, 0.5, 0, 0.050
16:08:01.995, -42, 0.5, 0, 0.050
16:08:02.091, -40, 0.5, 0, 0.050
16:08:02.252, -45, 0.5, 0, 0.050
16:08:02.349, -41, 0.5, 0, 0.050
16:08:02.446, -41, 0.5, 0, 0.050
16:08:02.542, -41, 0.5, 0, 0.050
16:08:02.638, -41, 0.5, 0, 0.050
16:08:02.734, -41, 0.5, 0, 0.050
16:08:02.925, -41, 0.5, 0, 0.050
16:08:03.087, -47, 0.5, 0, 0.050
16:08:03.184, -42, 0.5, 0, 0.050
16:08:03.281, -40, 0.5, 0, 0.050
16:08:03.378, -41, 0.5, 0, 0.050
16:08:03.474, -41, 0.5, 0, 0.050
16:08:03.604, -40, 0.5, 0, 0.050
16:08:03.700, -40, 0.5, 0, 0.050
16:08:03.797, -40, 0.5, 0, 0.050
16:08:03.894, -40, 0.5, 0, 0.050
16:19:04.683, -49, 0.5, 1, 0.050
16:19:04.780, -47, 0.5, 1, 0.050
16:19:04.877, -43, 0.5, 1, 0.050
16:19:05.070, -40, 0.5, 1, 0.050
16:19:05.165, -40, 0.5, 1, 0.050
16:19:05.261, -40, 0.5, 1, 0.050
16:19:05.423, -43, 0.5, 1, 0.050
16:19:05.518, -38, 0.5, 1, 0.050
16:19:05.615, -36, 0.5, 1, 0.050
16:19:05.711, -37, 0.5, 1, 0.050
16:19:05.809, -35, 0.5, 1, 0.050
16:19:05.938, -35, 0.5, 1, 0.050
16:19:06.036, -36, 0.5, 1, 0.050
16:19:06.133, -41, 0.5, 1, 0.050
16:19:06.230, -38, 0.5, 1, 0.050
16:19:06.391, -64, 0.5, 1, 0.050
16:19:06.488, -52, 0.5, 1, 0.050
16:19:06.584, -65, 0.5, 1, 0.050
16:19:06.680, -49, 0.5, 1, 0.050
16:19:06.777, -43, 0.5, 1, 0.050
16:19:06.874, -42, 0.5, 1, 0.050
16:19:06.971, -41, 0.5, 1, 0.050
16:19:07.070, -36, 0.5, 1, 0.050
16:19:07.167, -34, 0.5, 1, 0.050
16:19:07.328, -43, 0.5, 1, 0.050
16:19:07.425, -42, 0.5, 1, 0.050
16:19:07.521, -43, 0.5, 1, 0.050
16:19:07.617, -46, 0.5, 1, 0.050
16:19:07.746, -45, 0.5, 1, 0.050
16:19:07.843, -45, 0.5, 1, 0.050
16:19:07.939, -48, 0.5, 1, 0.050
16:19:08.036, -44, 0.5, 1, 0.050
16:19:08.197, -50, 0.5, 1, 0.050
16:19:08.295, -46, 0.5, 1, 0.050
16:19:08.392, -45, 0.5, 1, 0.050
16:19:08.488, -46, 0.5, 1, 0.050
16:19:08.585, -47, 0.5, 1, 0.050
16:19:08.681, -48, 0.5, 1, 0.050
16:19:08.777, -49, 0.5, 1, 0.050
16:19:08.873, -56, 0.5, 1, 0.050
16:19:09.001, -41, 0.5, 1, 0.050
16:19:09.131, -44, 0.5, 1, 0.050
16:19:09.227, -41, 0.5, 1, 0.050
16:19:09.324, -40, 0.5, 1, 0.050
16:19:09.453, -42, 0.5, 1, 0.050
16:19:09.550, -41, 0.5, 1, 0.050
16:19:09.647, -40, 0.5, 1, 0.050
16:19:09.744, -59, 0.5, 1, 0.050
16:19:09.839, -61, 0.5, 1, 0.050
16:19:09.937, -47, 0.5, 1, 0.050
16:19:10.099, -45, 0.5, 1, 0.050
16:19:10.195, -40, 0.5, 1, 0.050
16:19:10.291, -40, 0.5, 1, 0.050
16:19:10.388, -47, 0.5, 1, 0.050
16:19:10.485, -45, 0.5, 1, 0.050
16:19:10.581, -39, 0.5, 1, 0.050
16:19:10.711, -40, 0.5, 1, 0.050
16:19:10.808, -45, 0.5, 1, 0.050
16:19:10.936, -47, 0.5, 1, 0.050
16:19:11.034, -45, 0.5, 1, 0.050
16:19:11.163, -61, 0.5, 1, 0.050
16:19:11.292, -58, 0.5, 1, 0.050
16:19:11.390, -55, 0.5, 1, 0.050
16:19:11.487, -46, 0.5, 1, 0.050
16:19:11.616, -40, 0.5, 1, 0.050
16:19:11.713, -37, 0.5, 1, 0.050
16:19:11.841, -50, 0.5, 1, 0.050
16:19:11.938, -45, 0.5, 1, 0.050
16:19:12.035, -42, 0.5, 1, 0.050
16:19:12.165, -42, 0.5, 1, 0.050
